#Dosya biçimi: word,sPoint,nPoint,yPoint

#Sayori’nin kelimeleri
mutluluk,3,2,1
üzgünlük,3,2,1
ölüm,3,1,2
trajedi,3,1,2
yalnýz,3,1,2
aþk,3,2,1
macera,3,2,1
tatlý,3,2,1
heyecan,3,2,1
havai fiþek,3,2,1
romantizm,3,2,1
gözyaþlarý,3,1,2
depresyon,3,1,2
kalp,3,2,1
evlilik,3,2,1
tutku,3,2,1
çocukluk,3,2,1
eðlence,3,2,1
renk,3,2,1
umut,3,1,2
arkadaþlar,3,2,1
aile,3,2,1
parti,3,2,1
tatil,3,2,1
tembel,3,2,1
hülya,3,1,2
acý,3,1,2
bayram,3,2,1
yatak,3,2,1
tüy,3,2,1
utanç,3,1,2
korkmak,3,1,2
sýcak,3,2,1
çiçek,3,2,1
konfor,3,2,1
dans,3,2,1
þarký söylemek,3,2,1
aðlamak,3,1,2
gülmek,3,2,1
karanlýk,3,1,2
güneþli,3,2,1
yaðmur bulutu,3,2,1
sakin,3,1,2
þapþal,3,2,1
uçuþ,3,2,1
harika,3,2,1
karþýlýksýz,3,1,2
gül,3,1,2
birlikte,3,2,1
söz,3,2,1
çekicilik,3,2,1
güzellik,3,2,1
neþelendirmek,3,2,1
gülümsemek,3,2,1
bozuk,3,1,2
deðerli,3,2,1
dua,3,1,2
sakar,3,2,1
affetmek,3,1,2
doða,3,2,1
okyanus,3,2,1
göz kamaþtýrmak,3,2,1
özel,3,2,1
müzik,3,2,1
þanslý,3,2,1
talihsizlik,3,1,2
gürültülü,3,2,1
huzurlu,3,1,2
sevinç,3,1,2
gün batýmý,3,2,1
ateþ böcekleri,3,2,1
gökkuþaðý,3,2,1
yaralamak,3,1,2
oynamak,3,2,1
ýþýldamak,3,2,1
yara izleri,3,1,2
boþ,3,1,2
inanýlmaz,3,2,1
keder,3,1,2
kucaklamak,3,1,2
olaðanüstü,3,2,1
müthiþ,3,2,1
yenilgi,3,1,2
umutsuz,3,1,2
ýzdýrap,3,1,2
hazine,3,2,1
saadet,3,2,1
anýlar,3,2,1

#Natsuki’nin kelimeleri
þirin,2,3,1
pofuduk,2,3,1
temiz,1,3,2
þekerleme,2,3,1
alýþveriþ,2,3,1
enik,2,3,1
pisi,2,3,1
bulutlar,2,3,1
ruj,1,3,2
parfe,2,3,1
çilek,2,3,1
pembe,2,3,1
çikolata,2,3,1
kalp atýþý,1,3,2
öpücük,1,3,2
melodi,2,3,1
kurdele,2,3,1
gergin,2,3,1
doki-doki,2,3,1
kavaii,2,3,1
etek,2,3,1
yanaklar,2,3,1
e-posta,2,3,1
yapýþkan,2,3,1
zýpýr,2,3,1
parlak,2,3,1
kemirmek,2,3,1
fantezi,1,3,2
þeker,2,3,1
kýkýrdamak,2,3,1
marþmelov,2,3,1
sekmek,2,3,1
atlamak,2,3,1
barýþ,2,3,1
dönmek,2,3,1
fýrýldatmak,2,3,1
lolipop,2,3,1
puf,2,3,1
kabarcýklar,2,3,1
fýsýldamak,2,3,1
yaz,2,3,1
þelale,1,3,2
mayo,2,3,1
vanilya,2,3,1
kulaklýk,2,3,1
oyunlar,2,3,1
çoraplar,2,3,1
saç,2,3,1
oyun alaný,2,3,1
gecelik,1,3,2
battaniye,1,3,2
süt,2,3,1
somurtmak,2,3,1
öfke,2,3,1
baba,2,3,1
sevgili,2,3,1
fare,1,3,2
ýslýk,2,3,1
bip,2,3,1
tavþan,2,3,1
anime,2,3,1
zýplamak,2,3,1

#Yuri’nin kelimeleri
kararlýlýk,1,1,3
intihar,2,1,3
hayal gücü,2,1,3
ketum,2,1,3
dinçlik,1,1,3
varlýk,2,1,3
ýþýltýlý,1,1,3
kýzýl,1,1,3
kasýrga,1,1,3
ardýl görüntü,1,1,3
vertigo,1,1,3
þaþýrmýþ,1,1,3
esans,2,1,3
ortam,2,1,3
yýldýz manzarasý,2,1,3
düzensizlik,1,1,3
kirlenme,1,1,3
entelektüel,1,1,3
çözümleme,1,1,3
entropi,1,1,3
þakrak,1,1,3
esrarengiz,2,1,3
uyumsuz,1,1,3
gazap,2,1,3
hýzýr,2,1,3
katliam,2,1,3
felsefe,1,1,3
hercai,1,1,3
inatçý,1,1,3
atmosfer,2,1,3
dengesiz,1,1,3
cehennem,2,1,3
âciz,2,1,3
yazgý,2,1,3
þaþmaz,1,1,3
kahredici,2,1,3
tutarsýzlýk,1,1,3
kontrol edilemez,2,1,3
ekstrem,1,1,3
kaçmak,2,1,3
rüya,2,2,3
felaket,2,1,3
canlý,2,1,3
coþkun,1,2,3
soru,1,2,3
iltihaplanmak,2,1,3
muhakeme,1,1,3
kafes,1,2,3
patlamak,1,2,3
zevk,1,2,3
þehvet,1,2,3
his,1,2,3
doruk,1,2,3
elektrik,1,2,3
reddetmek,1,1,3
iðrenmek,2,1,3
sonsuz,2,1,3
ebediyet,2,1,3
zaman,2,1,3
evren,2,1,3
sonu gelmez,2,1,3
yaðmur damlasý,2,1,3
imrenmek,1,1,3
dizginlenmemiþ,1,1,3
manzara,2,1,3
portre,2,1,3
yolculuk,2,1,3
kýt,1,1,3
kaygý,2,1,3
ürkütücü,2,1,3
korku,2,1,3
melankoli,2,1,3
içyüz,2,1,3
kefaret ödemek,2,1,3
nefes almak,1,2,3
tutsak,2,1,3
arzulamak,1,2,3
mezarlýk,2,1,3
